3, touchpad, three, two, 0.6750156, 0
3, touchpad, three, three, 1.476753, 0
3, touchpad, three, three, 0.858575, 0
3, touchpad, three, three, 0.6827566, 0
3, touchpad, three, three, 0.6332642, 0
3, touchpad, three, three, 0.5667474, 1
3, touchpad, three, three, 0.3417881, 0
3, touchpad, three, three, 0.5759889, 0
3, touchpad, three, three, 0.615809, 0
3, touchpad, three, three, 0.6005182, 0
3, touchpad, three, three, 0.5412475, 0
