2, touchpad, three, two, 0.5660313, 1
2, touchpad, three, two, 0.2754538, 0
2, touchpad, three, two, 1.042955, 1
2, touchpad, three, two, 0.2325519, 0
2, touchpad, three, two, 0.9080933, 1
2, touchpad, three, two, 0.2501107, 0
2, touchpad, three, two, 1.116437, 0
2, touchpad, three, two, 0.8837174, 1
2, touchpad, three, two, 0.266843, 0
2, touchpad, three, two, 1.133513, 0
2, touchpad, three, two, 0.9502875, 0
2, touchpad, three, two, 0.6578707, 0
2, touchpad, three, three, 0.745464, 0
2, touchpad, three, three, 1.175402, 0
2, touchpad, three, three, 0.4836392, 1
2, touchpad, three, three, 0.465915, 1
2, touchpad, three, three, 0.2588861, 0
2, touchpad, three, three, 0.6416661, 0
2, touchpad, three, three, 0.5916776, 1
2, touchpad, three, three, 0.2246674, 0
2, touchpad, three, three, 0.7417051, 0
2, touchpad, three, three, 0.6918963, 0
2, touchpad, three, three, 0.5249872, 1
2, touchpad, three, three, 0.2340223, 0
2, touchpad, three, three, 0.5077253, 0
